recording_id,true_label,n_windows,pct_predicted_FALL,pct_predicted_TWISTING,pct_correct,avg_FALL_proba,max_FALL_proba,avg_TWISTING_proba,max_TWISTING_proba,v5_saw_in_training,v5_saw_in_its_own_test,v5_never_saw_this_recording,dist_to_NORMAL_centroid,dist_to_FALL_centroid,dist_to_TWISTING_centroid,closer_to_FALL_than_NORMAL,closer_to_TWISTING_than_NORMAL,statistical_outlier_features,raw_quality_problems,saturation_pct_of_samples,saturation_max_consecutive_run,suspicion_score,classification
normal_035,NORMAL,19,0.0,0.0,100.0,0.0033401960972696543,0.018519019708037376,0.0002430404128972441,0.002460270654410124,True,False,False,2.325721713927074,1.6001373940348764,2.650474283059009,True,False,,,1.2166666666666666,22,7.389966201409697,NO_PROBLEM_FOUND
normal_022,NORMAL,8,0.0,0.0,100.0,0.04397224262356758,0.13621389865875244,0.0028275339864194393,0.011459418572485447,False,True,False,1.0530968223946184,1.3952600737120264,4.9309898204525835,False,False,,,0.0,0,5.677744317799807,NO_PROBLEM_FOUND
normal_017,NORMAL,38,0.0,0.0,100.0,0.007321170996874571,0.028036950156092644,0.00021225365344434977,0.0018439601408317685,True,False,False,1.0176627783829983,2.3832048352956305,5.081860597837426,False,False,,,0.2001000500250125,14,5.358357209060341,NO_PROBLEM_FOUND
normal_028,NORMAL,9,0.0,0.0,100.0,0.001623168122023344,0.0035943384282290936,0.004374050069600344,0.010429754853248596,True,False,False,2.828715636301933,2.8275623175034887,1.9572783778657066,True,True,,,2.966666666666667,16,5.1523686341941355,NO_PROBLEM_FOUND
normal_025,NORMAL,9,0.0,0.0,100.0,0.0273035429418087,0.09815659373998642,0.005541292950510979,0.041246477514505386,False,True,False,0.8312565375432156,2.0257440724841405,4.948920218177806,False,False,,,0.0,0,4.7511932998895645,NO_PROBLEM_FOUND
normal_036,NORMAL,9,0.0,0.0,100.0,0.024377617985010147,0.09397546947002411,0.00037958426401019096,0.0013826147187501192,False,False,True,1.215893909776999,2.3783568843309504,5.493259967840516,False,False,,,0.0,0,3.7866710731759667,NO_PROBLEM_FOUND
normal_031,NORMAL,19,0.0,0.0,100.0,0.0021296727936714888,0.012031437829136848,0.0009409796912223101,0.007319125812500715,True,False,False,2.267909157892963,1.4867977248300641,2.811366748840314,True,False,,,1.1333333333333333,9,3.327640029415488,NO_PROBLEM_FOUND
normal_034,NORMAL,8,0.0,0.0,100.0,0.0036700512282550335,0.01974097080528736,0.00015049373905640095,0.00047251314390450716,True,False,False,1.8757755861295178,0.9454628471244138,3.4400577044421996,True,False,,,0.6012024048096193,5,2.2990890950895846,NO_PROBLEM_FOUND
normal_040,NORMAL,9,0.0,0.0,100.0,0.010707267560064793,0.047109443694353104,0.0016906968085095286,0.00914913322776556,False,False,True,0.7262962905652333,1.9440633713752988,5.0361466318185535,False,False,,,0.0,0,2.0673604123294353,NO_PROBLEM_FOUND
normal_011,NORMAL,39,0.0,0.0,100.0,0.0013082840014249086,0.016477622091770172,5.7636701967567205e-05,0.0004278687702026218,True,False,False,3.2965655828746883,4.213373195040076,7.6995561780811315,False,False,,,0.05,4,1.8676622590748593,NO_PROBLEM_FOUND
normal_018,NORMAL,38,0.0,0.0,100.0,0.002563889604061842,0.011732911691069603,0.00012029935169266537,0.0006764540448784828,True,False,False,0.8683229988344253,2.109285114486034,5.185056827648414,False,False,,,0.06670001667500416,4,1.6828455485403537,NO_PROBLEM_FOUND
normal_015,NORMAL,39,0.0,0.0,100.0,0.003264892613515258,0.0175417959690094,8.911374607123435e-05,0.00027691919240169227,True,False,False,1.5851060458633708,2.49788212023213,6.017222495750355,False,False,,,0.05,3,1.6072102226084097,NO_PROBLEM_FOUND
normal_023,NORMAL,8,0.0,0.0,100.0,0.00217077718116343,0.008810137398540974,0.00034243767731823027,0.0008000654052011669,True,False,False,1.7994548900992289,0.710083143740805,3.728395136443149,True,False,,,0.13360053440213762,4,1.5684068040456622,NO_PROBLEM_FOUND
normal_008,NORMAL,18,0.0,0.0,100.0,0.0031049130484461784,0.017628265544772148,0.00011350241402396932,0.00036604065098799765,True,False,False,1.9691250341395163,3.0775149178799195,6.345666733327064,False,False,,,0.0,0,0.7124514348106459,NO_PROBLEM_FOUND
normal_010,NORMAL,19,0.0,0.0,100.0,0.0027120255399495363,0.015581698156893253,4.3924490455538034e-05,0.00014168037159834057,True,False,False,2.8927171381178622,3.899509996313135,7.280900250511377,False,False,,,0.0,0,0.6261015337076969,NO_PROBLEM_FOUND
normal_003,NORMAL,19,0.0,0.0,100.0,0.0010355354752391577,0.015418138355016708,3.495052078505978e-05,0.00022139267821330577,True,False,False,2.364238009601605,3.453180431577521,6.719256167354836,False,False,,,0.0,0,0.6211533877649345,NO_PROBLEM_FOUND
normal_026,NORMAL,9,0.0,0.0,100.0,0.004533042199909687,0.012784604914486408,0.00024247559485957026,0.0008151266374625266,True,False,False,1.0511698082272913,1.6684023572866957,5.29964860398032,False,False,,,0.0,0,0.5276867293287069,NO_PROBLEM_FOUND
normal_007,NORMAL,19,0.0,0.0,100.0,0.0026567047461867332,0.011216682381927967,0.00012321049871388823,0.0002757664187811315,True,False,False,1.6879178399574735,2.8290112174576647,6.0557558896842085,False,False,,,0.0,0,0.4541826236527413,NO_PROBLEM_FOUND
